ID link,in_mine,in_BauschFluck,in_Town,in_DiazRamos,in_daCunha
O75783,0,0,1,0,1
O75787,1,0,1,0,1
O75829,0,0,1,0,1
O75841,1,1,1,0,1
O75844,0,0,1,0,0
O75845,0,0,1,0,0
O75871,1,1,1,1,1
O75882,1,1,1,0,1
O75888,0,0,1,1,1
O75889,0,0,0,0,1
O75899,1,1,1,1,1
O75900,0,0,1,0,0
O75908,0,0,0,0,1
O75915,0,0,1,0,0
O75920,0,0,0,0,1
O75923,1,0,1,0,1
O75935,0,0,1,0,0
O75954,1,1,1,0,1
O75955,0,0,0,1,0
O75976,1,1,1,0,1
O76000,1,1,1,0,1
O76001,1,1,1,0,1
O76002,1,1,1,0,1
O76024,0,0,0,0,1
O76027,0,0,1,0,0
O76036,1,1,1,1,1
O76062,0,0,1,0,1
O76082,1,1,1,0,1
O76090,1,0,1,0,1
O76095,1,0,1,1,1
O76099,1,1,1,0,1
O76100,1,1,1,0,1
O94759,1,0,1,1,1
O94766,0,0,1,0,0
O94769,1,0,0,0,0
O94772,1,1,0,0,0
O94777,0,0,1,0,0
O94778,1,1,1,0,1
O94779,1,1,0,0,0
O94813,0,0,1,0,0
O94823,0,0,1,0,0
O94826,0,0,1,0,0
O94856,1,1,1,0,1
O94876,0,0,1,0,1
O94886,0,1,1,0,1
O94898,1,1,1,0,1
O94901,0,0,1,0,0
O94905,0,0,1,0,0
O94910,1,1,1,0,1
O94911,0,1,0,1,1
O94923,0,0,1,0,0
O94933,1,1,1,0,1
O94956,1,1,0,0,1
O94966,0,0,1,0,1
O94985,1,1,1,0,1
O94991,1,1,1,0,1
O95006,1,1,0,0,1
O95007,1,1,1,0,1
O95013,1,1,0,0,1
O95047,1,1,1,0,1
O95069,0,0,1,0,1
O95070,0,0,1,0,1
O95136,1,1,0,1,0
O95139,0,0,1,0,0
O95140,0,0,1,0,0
O95150,1,1,0,0,1
O95159,0,0,1,0,1
O95167,0,0,1,0,0
O95168,0,0,1,0,0
O95169,0,0,1,0,0
O95180,1,0,1,0,1
O95183,0,0,1,0,1
O95185,1,1,1,0,1
O95196,1,1,1,0,1
O95202,0,0,1,0,1
O95206,1,1,1,0,1
O95210,1,0,1,0,0
O95214,0,0,1,1,1
O95221,1,1,1,0,1
O95222,1,1,1,0,1
O95237,0,0,1,0,0
O95249,0,0,1,0,0
O95255,1,0,1,0,1
O95256,1,1,1,1,1
O95259,1,0,0,0,1
O95264,1,1,1,0,1
O95274,1,1,0,0,0
O95279,0,1,1,0,1
O95292,0,0,1,0,1
O95297,1,1,1,0,1
O95298,0,0,1,0,0
O95342,1,1,1,0,1
O95371,1,1,1,0,1
O95377,1,1,1,0,1
O95393,0,0,1,0,0
O95395,0,0,1,0,0
O95406,0,0,1,1,1
O95415,0,0,1,0,1
O95425,0,0,1,0,0
O95427,0,0,1,0,1
O95436,1,1,1,0,1
O95452,1,1,1,0,1
O95461,0,0,1,0,0
O95470,0,0,1,0,0
O95471,1,1,0,0,1
O95473,0,0,0,0,1
O95476,0,0,1,0,0
O95477,1,1,0,1,1
O95484,1,1,0,0,1
O95490,1,1,1,0,1
O95497,1,1,0,0,0
O95498,1,1,0,1,1
O95500,1,0,0,0,1
O95502,1,0,1,0,0
O95528,1,1,0,0,1
O95562,0,0,1,0,1
O95573,0,0,1,0,0
O95622,1,1,1,0,1
O95630,0,0,1,0,0
O95665,1,1,0,1,1
O95672,0,0,1,0,1
O95727,1,1,1,1,1
O95754,1,1,1,0,1
O95772,1,0,0,0,1
O95800,1,1,0,0,1
O95803,0,0,1,0,0
O95807,0,0,1,0,1
O95832,1,1,1,0,1
O95833,0,0,1,0,0
O95834,0,0,0,0,1
O95838,1,1,1,0,1
O95857,1,1,1,0,1
O95858,1,1,1,0,1
O95859,1,0,1,0,1
O95864,0,0,1,0,1
O95866,1,1,1,0,1
O95867,1,1,0,0,0
O95868,1,1,0,0,0
O95870,0,0,1,0,1
O95907,1,1,0,0,1
O95918,1,1,0,0,1
O95925,0,0,1,0,0
O95944,1,1,1,1,1
O95971,1,1,0,1,0
O95976,1,1,1,1,1
O95977,1,1,0,1,1
O95980,1,1,0,0,0
O95992,0,0,0,0,1
O96002,0,0,0,0,1
O96005,1,0,0,0,1
O96011,0,0,1,0,0
O96024,0,0,1,0,0
P00156,0,0,1,0,0
P00167,0,0,1,0,0
P00390,0,0,1,0,0
P00395,0,0,1,0,0
P00403,0,0,1,0,0
P00533,1,1,1,1,1
P00742,0,0,1,0,0
P00747,0,0,1,0,0
P00749,0,0,1,0,0
P00750,0,0,1,0,0
P00813,0,0,1,0,0
P00846,0,0,1,0,0
P01127,0,0,1,0,0
P01130,1,1,1,1,1
P01133,1,1,1,0,1
P01135,1,1,1,0,1
P01137,0,0,1,0,0
